Número de items: 10000
Limite de peso: 1765326

ITEM                 PESO      VALOR
X5659                 870        381
X1262                 870        369
X280                  869        353
X4152                 868        383
X764                  868        379
X8022                 867        398
X5090                 867        382
X4633                 867        367
X8957                 866        349
X4327                 865        395
X6141                 865        387
X3943                 865        357
X997                  863        375
X5349                 863        364
X5593                 862        393
X8979                 862        358
X7552                 862        353
X6936                 861        398
X307                  861        349
X1959                 860        370
X1244                 859        381
X5067                 859        379
X4728                 858        357
X7659                 857        371
X9909                 854        400
X1784                 854        387
X6080                 854        358
X631                  854        347
X401                  853        381
X9022                 853        344
X7259                 851        393
X2048                 850        346
X2038                 849        365
X7544                 849        344
X538                  848        350
X1912                 847        388
X8156                 847        387
X9487                 847        379
X3658                 847        339
X6096                 846        388
X7252                 846        375
X161                  846        349
X1680                 845        396
X2516                 845        367
X8394                 845        357
X4189                 845        345
X563                  844        388
X4756                 843        337
X2316                 842        375
X8439                 842        351
X7913                 841        343
X5604                 840        390
X4188                 840        357
X9616                 838        342
X8635                 837        396
X3771                 837        385
X5846                 837        345
X5122                 837        343
X5367                 836        343
X2042                 836        338
X6452                 835        385
X902                  835        361
X659                  835        344
X4845                 833        388
X831                  832        367
X6167                 832        334
X5028                 831        366
X206                  829        385
X8550                 829        359
X9193                 829        355
X8814                 829        350
X444                  827        330
X6165                 826        395
X5783                 826        379
X5382                 825        381
X677                  825        345
X8720                 824        378
X7545                 824        369
X1677                 823        398
X3380                 823        372
X4345                 823        344
X971                  822        350
X80                   822        338
X6643                 821        382
X8397                 821        357
X607                  820        387
X2414                 820        373
X3324                 820        371
X8027                 820        334
X2851                 819        386
X8686                 818        371
X2592                 818        357
X8755                 818        340
X1143                 817        350
X830                  817        334
X8869                 816        331
X5365                 815        363
X1979                 814        365
X1398                 812        391
X1380                 812        363
X6822                 812        331
X5904                 811        351
X8870                 810        400
X7082                 810        365
X1024                 808        396
X1452                 808        328
X5760                 807        364
X4564                 807        352
X9064                 807        346
X4812                 807        334
X8030                 806        362
X8191                 806        351
X5486                 805        392
X4234                 805        370
X2346                 805        354
X1910                 804        396
X5080                 804        367
X8526                 804        361
X5859                 804        336
X3363                 804        328
X9382                 803        381
X1117                 803        376
X9354                 803        334
X6704                 800        371
X8826                 800        363
X5809                 799        398
X9874                 799        324
X7667                 798        397
X8517                 798        393
X3416                 798        362
X1826                 798        350
X7017                 797        350
X1686                 795        382
X6006                 795        356
X4117                 793        380
X7279                 793        341
X1453                 792        370
X4170                 792        355
X8706                 792        336
X3646                 791        394
X2729                 791        352
X9825                 790        389
X668                  790        378
X1711                 790        365
X3868                 789        399
X1756                 789        380
X5256                 788        393
X5835                 788        344
X495                  788        338
X2086                 787        374
X859                  787        364
X2455                 787        364
X4007                 786        382
X9459                 786        317
X6719                 785        377
X4422                 785        350
X5551                 783        389
X4207                 783        339
X6779                 783        318
X2361                 782        353
X4209                 782        337
X5590                 781        375
X2534                 780        362
X6035                 780        358
X7401                 780        345
X5190                 779        349
X6453                 779        328
X10000                778        355
X8352                 777        392
X8496                 777        323
X2178                 775        384
X4887                 775        382
X2116                 775        343
X5678                 775        337
X541                  775        330
X7628                 774        338
X4611                 774        328
X9581                 773        375
X5926                 773        360
X8457                 773        322
X3913                 771        392
X2636                 771        372
X7595                 771        365
X771                  771        349
X2661                 771        330
X5841                 769        355
X8444                 769        336
X6461                 768        391
X5878                 768        356
X6148                 768        353
X4502                 768        350
X3435                 768        334
X7879                 768        327
X1862                 767        366
X8260                 767        364
X875                  767        326
X4206                 766        395
X5849                 766        375
X4730                 766        362
X438                  766        326
X4692                 765        385
X7332                 765        375
X9540                 765        372
X2959                 765        327
X329                  764        325
X9830                 763        347
X3298                 763        309
X9797                 762        387
X7651                 762        329
X7052                 761        383
X6326                 761        310
X3594                 760        354
X508                  759        377
X1633                 759        374
X7186                 759        362
X7450                 759        303
X7623                 757        394
X2258                 757        393
X5124                 757        384
X5111                 757        379
X179                  757        372
X8654                 757        370
X7056                 757        357
X3787                 757        325
X5540                 756        355
X5341                 756        354
X975                  756        330
X3475                 756        321
X7422                 755        371
X343                  755        341
X8349                 755        303
X2072                 754        364
X1357                 753        396
X4221                 753        395
X8825                 752        307
X1500                 751        391
X6143                 751        361
X5324                 751        332
X7396                 751        307
X4115                 750        386
X5000                 750        358
X5140                 750        336
X803                  749        309
X1012                 748        344
X95                   748        313
X6871                 748        313
X7537                 747        393
X1837                 747        350
X1341                 745        390
X5304                 745        388
X1815                 745        369
X2096                 745        335
X2080                 744        393
X5739                 743        300
X7571                 743        297
X3341                 742        315
X8489                 741        396
X4782                 741        387
X2882                 741        371
X4094                 741        342
X3497                 741        337
X3690                 740        384
X4289                 740        351
X9704                 739        397
X3789                 739        309
X7807                 738        354
X3209                 738        350
X1496                 738        320
X3869                 737        354
X8024                 737        328
X4193                 737        317
X3839                 737        296
X9617                 736        368
X2254                 736        348
X4472                 736        327
X1691                 735        373
X8257                 734        398
X3181                 734        378
X7844                 734        356
X2659                 734        316
X2076                 734        302
X164                  733        361
X7020                 733        350
X4379                 733        338
X796                  733        319
X2303                 731        324
X27                   730        292
X3406                 729        328
X8866                 729        303
X8341                 728        384
X6081                 728        311
X6021                 727        398
X9721                 726        399
X2147                 726        388
X4561                 725        389
X2322                 725        364
X50                   725        310
X5894                 724        356
X9779                 724        346
X2637                 723        363
X4558                 723        334
X9119                 722        394
X8244                 722        369
X1928                 722        368
X4365                 722        296
X7973                 722        290
X7908                 721        371
X5154                 721        342
X1725                 721        332
X7951                 721        301
X5510                 720        359
X1735                 719        387
X2826                 719        373
X5582                 719        330
X115                  718        299
X1390                 717        351
X6066                 717        331
X1558                 717        318
X8492                 716        315
X4952                 716        311
X4917                 715        370
X1110                 715        312
X9806                 715        301
X2226                 715        298
X6293                 714        376
X5088                 714        356
X4131                 714        333
X1440                 714        307
X7102                 713        337
X2857                 713        334
X5639                 713        313
X7988                 713        303
X4075                 712        373
X3897                 712        351
X6921                 712        324
X9430                 712        320
X2252                 712        313
X8523                 711        316
X6707                 710        399
X7693                 710        399
X4582                 710        363
X6983                 710        298
X2483                 709        399
X2715                 709        353
X8321                 708        396
X7604                 707        395
X5784                 707        389
X2194                 707        316
X7103                 706        361
X9129                 706        350
X8494                 706        346
X1268                 705        309
X4600                 705        296
X4002                 705        293
X9944                 705        291
X3482                 704        392
X7881                 704        390
X8675                 703        393
X8661                 703        370
X16                   703        356
X5686                 703        351
X4096                 702        396
X1893                 702        372
X5641                 702        351
X9433                 702        321
X9749                 701        389
X3247                 701        342
X8937                 701        307
X219                  701        304
X1675                 701        281
X1358                 700        363
X2564                 699        374
X683                  699        358
X9947                 699        340
X2976                 699        311
X3628                 699        302
X5291                 698        393
X9098                 698        356
X5743                 698        329
X3710                 698        327
X2032                 698        325
X577                  697        327
X1775                 697        314
X3685                 697        309
X5161                 697        305
X1445                 696        382
X8769                 696        361
X2326                 696        328
X6789                 696        326
X8696                 695        350
X976                  695        337
X5220                 695        298
X8925                 695        282
X8566                 694        354
X3308                 694        346
X6158                 694        344
X3744                 693        344
X6426                 693        338
X9884                 693        295
X9048                 693        290
X3486                 692        397
X2717                 692        387
X1426                 692        297
X6323                 692        285
X6306                 691        390
X272                  691        387
X8597                 691        347
X7224                 691        323
X6352                 691        292
X3930                 691        286
X4983                 690        367
X5873                 690        351
X4200                 690        317
X2329                 690        310
X987                  689        396
X3997                 689        382
X3675                 689        365
X8899                 689        344
X7069                 689        330
X8357                 689        280
X4073                 688        365
X7148                 688        331
X4661                 687        358
X2057                 687        352
X3312                 687        308
X2979                 687        293
X7543                 686        308
X4032                 686        288
X5699                 685        356
X9527                 685        347
X7087                 685        314
X790                  685        302
X6808                 685        296
X2875                 684        362
X961                  684        327
X1610                 684        323
X5764                 684        317
X4947                 684        309
X5378                 684        283
X4962                 683        397
X414                  683        274
X2928                 682        398
X7863                 682        325
X8192                 682        320
X7582                 682        309
X1066                 681        360
X5836                 681        272
X5348                 680        294
X5957                 680        275
X2937                 679        349
X459                  679        331
X6491                 679        293
X3557                 679        284
X3867                 678        392
X9593                 678        376
X1968                 678        330
X5428                 678        326
X2383                 677        366
X2865                 677        354
X9899                 677        320
X9726                 677        281
X1101                 676        374
X9748                 675        394
X4819                 675        393
X144                  675        383
X3724                 675        353
X7327                 675        350
X8700                 675        317
X7535                 675        285
X680                  675        275
X8640                 674        344
X2433                 674        287
X9674                 673        372
X9340                 673        361
X1509                 673        328
X6444                 673        321
X4480                 673        315
X5883                 673        309
X9145                 672        364
X2446                 672        335
X4836                 672        290
X2278                 671        393
X1463                 671        364
X942                  671        328
X5577                 671        299
X8422                 671        272
X2281                 669        384
X7455                 669        311
X7054                 669        269
X7606                 668        385
X6277                 668        297
X3099                 667        395
X8297                 667        389
X1563                 667        379
X4698                 667        373
X4674                 667        353
X9569                 667        320
X915                  667        282
X8674                 666        392
X5272                 666        391
X3453                 666        304
X8521                 665        267
X4487                 664        397
X7183                 664        347
X8582                 664        307
X1935                 664        290
X4776                 663        394
X3605                 663        349
X5912                 663        338
X9835                 663        332
X8532                 663        319
X5504                 663        277
X182                  661        391
X5464                 661        385
X4296                 661        377
X6392                 661        372
X3606                 661        335
X9402                 661        298
X2828                 661        289
X386                  661        282
X9444                 661        276
X1865                 661        268
X911                  660        317
X9561                 660        291
X475                  660        273
X6117                 659        396
X1498                 659        386
X3531                 659        365
X1922                 659        264
X3140                 658        380
X913                  658        356
X6967                 658        286
X7337                 658        263
X1043                 657        376
X7447                 657        362
X6717                 657        297
X9772                 656        360
X9803                 656        355
X795                  656        304
X7352                 655        385
X8473                 655        351
X6179                 655        272
X6119                 654        397
X3230                 654        329
X9071                 653        364
X3350                 653        340
X7744                 653        327
X4814                 653        265
X9871                 652        380
X6456                 652        378
X8981                 651        306
X1180                 651        298
X2259                 651        298
X7307                 650        383
X2502                 650        340
X2843                 650        288
X8906                 650        284
X1579                 649        348
X9916                 649        293
X4515                 649        270
X3905                 648        366
X1663                 648        365
X7206                 648        333
X1984                 648        310
X3894                 647        348
X8639                 647        310
X1251                 647        263
X6348                 646        362
X2545                 646        359
X8802                 646        343
X908                  646        322
X3506                 646        316
X5012                 646        274
X6647                 646        258
X1617                 645        391
X9272                 645        338
X1843                 645        323
X7779                 645        309
X918                  645        298
X7013                 645        281
X3311                 644        399
X6402                 644        394
X4041                 644        390
X9926                 644        384
X7415                 644        372
X5714                 644        370
X794                  644        327
X6579                 644        311
X2270                 644        287
X3133                 644        286
X6995                 644        282
X70                   643        392
X4932                 643        268
X6526                 642        375
X6803                 642        315
X3183                 642        268
X4334                 641        394
X1730                 641        330
X3989                 640        378
X8723                 640        367
X3621                 640        359
X5434                 640        356
X1761                 640        313
X1542                 640        276
X8618                 639        375
X152                  639        370
X1652                 639        362
X5498                 639        339
X5773                 639        325
X1607                 639        305
X3116                 639        293
X4459                 639        269
X8263                 639        264
X7783                 638        351
X2747                 638        299
X7892                 638        265
X7508                 637        369
X2536                 637        282
X2046                 637        270
X8762                 637        258
X1964                 636        379
X1213                 636        376
X6972                 636        362
X8168                 636        321
X7546                 636        267
X6358                 636        259
X6464                 635        257
X465                  634        369
X7918                 634        342
X3760                 634        322
X9127                 634        322
X582                  633        393
X8897                 633        356
X5541                 633        307
X8426                 633        298
X6335                 633        286
X9480                 633        261
X277                  632        374
X3244                 632        338
X7132                 632        319
X7395                 632        270
X3126                 631        398
X804                  631        387
X3390                 630        395
X7457                 630        335
X8687                 630        329
X3764                 630        287
X1303                 629        341
X3191                 629        331
X1666                 629        304
X4077                 629        275
X3004                 629        256
X1745                 628        361
X7474                 628        352
X3429                 628        284
X9254                 628        254
X4769                 627        344
X7133                 627        310
X2620                 627        306
X7099                 626        311
X204                  626        283
X5385                 625        389
X7301                 625        381
X8604                 625        375
X9961                 625        332
X3055                 625        314
X1659                 625        294
X9110                 625        279
X4526                 624        377
X9782                 624        363
X2394                 624        358
X9131                 624        347
X3720                 624        302
X6083                 624        278
X9972                 623        380
X2374                 623        342
X3025                 623        339
X8041                 623        317
X4967                 623        268
X9635                 622        370
X1565                 622        300
X1437                 622        282
X4716                 621        380
X1752                 621        335
X450                  621        333
X5260                 621        319
X8391                 621        250
X9921                 620        398
X751                  620        367
X8698                 620        353
X6912                 620        330
X1474                 619        347
X1109                 619        331
X6382                 619        292
X3604                 619        265
X7114                 619        252
X3188                 618        283
X7532                 618        282
X9489                 618        249
X2607                 617        398
X2708                 617        284
X9454                 617        248
X65                   617        247
X5446                 616        393
X7674                 616        325
X7553                 616        304
X2264                 616        286
X1006                 616        273
X4710                 616        267
X8588                 615        391
X2901                 615        303
X6272                 615        281
X3159                 614        368
X3949                 614        367
X4435                 614        352
X8112                 614        326
X5148                 614        317
X6154                 614        310
X2713                 614        302
X8367                 614        298
X621                  613        393
X8014                 613        391
X3889                 613        248
X3092                 612        338
X3882                 612        265
X2174                 611        389
X4016                 611        338
X5187                 610        393
X5008                 610        315
X1271                 610        276
X814                  610        260
X958                  609        396
X880                  609        341
X9305                 608        359
X9411                 608        347
X3030                 608        326
X6714                 608        294
X1210                 608        277
X3861                 608        275
X4258                 607        394
X6696                 607        380
X9602                 607        328
X3942                 607        251
X6566                 606        378
X3158                 606        282
X8564                 606        244
X671                  605        395
X7974                 605        367
X4615                 605        362
X4965                 605        284
X4818                 604        369
X468                  604        361
X3803                 604        296
X6754                 604        287
X1947                 604        270
X1103                 603        393
X1005                 603        382
X5837                 603        290
X6752                 603        288
X5117                 602        352
X8704                 602        315
X6750                 600        377
X4095                 600        286
X2036                 600        261
X3638                 599        256
X2306                 598        393
X7835                 598        352
X292                  597        399
X5150                 597        394
X9619                 597        375
X2647                 597        366
X8237                 597        365
X545                  597        303
X2069                 597        292
X7928                 597        285
X8789                 597        270
X3587                 596        353
X2199                 596        319
X6279                 595        383
X5931                 595        357
X81                   595        354
X4870                 595        306
X6819                 594        332
X9186                 594        309
X90                   594        302
X5631                 594        274
X8421                 593        389
X4565                 593        339
X6723                 593        266
X6359                 593        264
X1839                 593        237
X5219                 592        320
X2191                 592        281
X3267                 592        254
X8210                 592        250
X6041                 592        248
X3237                 591        365
X8600                 591        295
X732                  591        263
X5070                 590        362
X6242                 590        359
X5206                 590        326
X673                  590        311
X8936                 590        261
X8689                 589        354
X4394                 589        308
X240                  589        293
X8997                 589        281
X5963                 589        259
X9870                 588        335
X3543                 588        282
X6889                 587        383
X6854                 587        343
X9988                 587        327
X3884                 587        285
X4397                 587        244
X8975                 586        358
X3510                 586        332
X7720                 586        332
X6846                 586        268
X2165                 585        363
X2690                 585        344
X8646                 585        312
X200                  584        377
X9948                 584        372
X5267                 584        328
X6433                 583        367
X1987                 583        292
X3197                 582        366
X3081                 582        357
X8241                 582        321
X7830                 582        289
X4531                 582        286
X9613                 582        277
X3792                 582        262
X3608                 581        395
X6904                 581        374
X5144                 581        344
X5033                 581        333
X162                  581        323
X9500                 581        306
X2896                 581        242
X7710                 580        389
X1662                 580        365
X7417                 580        353
X1443                 580        259
X8656                 580        254
X7800                 579        360
X176                  579        339
X6739                 579        339
X6955                 579        262
X4625                 578        397
X692                  578        371
X5695                 578        337
X939                  578        327
X337                  578        283
X7902                 578        248
X6040                 578        245
X3769                 577        367
X6986                 577        303
X3927                 577        269
X84                   577        238
X7920                 576        383
X6713                 576        370
X694                  576        355
X6576                 576        284
X9158                 576        238
X8470                 575        290
X3762                 575        249
X8145                 574        373
X7810                 574        368
X2418                 574        351
X4509                 574        258
X5299                 574        240
X2841                 573        350
X6070                 573        350
X7813                 573        308
X1454                 573        298
X9787                 573        278
X422                  573        268
X6656                 572        351
X2940                 572        324
X4119                 572        267
X4408                 572        239
X9588                 571        342
X8859                 571        302
X827                  571        260
X1817                 571        235
X2628                 570        341
X2699                 570        338
X2741                 570        338
X2110                 570        326
X9900                 570        314
X7891                 570        300
X1861                 569        374
X2112                 569        345
X8268                 569        324
X643                  569        290
X9084                 569        286
X6673                 569        284
X1697                 569        282
X9136                 569        271
X9345                 569        242
X4559                 568        360
X7059                 568        347
X4727                 568        344
X2943                 568        340
X9400                 568        336
X2758                 568        312
X3351                 568        305
X9546                 568        264
X1300                 568        260
X8921                 567        338
X408                  567        331
X4594                 567        302
X2832                 567        272
X9575                 566        348
X8524                 566        309
X9308                 566        295
X2775                 566        285
X6492                 565        382
X747                  565        345
X6826                 565        327
X3080                 565        303
X8040                 565        284
X5863                 565        234
X2528                 565        229
X515                  564        322
X7640                 564        322
X3065                 564        318
X6026                 563        392
X6630                 563        351
X8827                 563        261
X3961                 563        251
X1977                 563        250
X5724                 562        371
X6761                 562        321
X3205                 562        270
X5898                 562        247
X9121                 561        385
X102                  561        335
X6533                 561        318
X7317                 561        316
X1063                 561        291
X7760                 561        289
X3161                 561        287
X8166                 561        237
X6672                 560        371
X3050                 560        362
X4748                 560        317
X4719                 560        299
X3164                 560        269
X7238                 559        227
X8169                 558        249
X954                  558        245
X5770                 558        225
X3916                 557        307
X8744                 556        387
X2750                 556        365
X4113                 556        295
X773                  555        330
X9789                 555        297
X9906                 555        290
X8507                 555        282
X4610                 555        268
X1541                 554        299
X9320                 553        392
X977                  553        363
X5943                 553        358
X8578                 553        341
X8346                 553        292
X9228                 553        265
X1628                 552        385
X6393                 552        319
X6715                 552        287
X7021                 551        371
X9530                 551        313
X9539                 551        293
X1919                 551        262
X9941                 551        259
X9401                 551        256
X561                  551        223
X2761                 550        386
X4693                 550        338
X5203                 550        259
X4632                 549        372
X3747                 549        332
X9133                 549        332
X2524                 549        296
X6493                 549        296
X9406                 548        380
X7703                 548        289
X492                  548        262
X6203                 548        223
X6409                 547        378
X4462                 547        335
X2065                 547        329
X8189                 547        291
X7695                 547        269
X2968                 546        368
X2985                 546        361
X2245                 546        351
X7462                 546        322
X9962                 546        302
X822                  546        275
X8123                 546        256
X9009                 546        251
X7032                 545        367
X4986                 545        357
X165                  545        286
X7730                 545        277
X2913                 545        253
X4178                 545        252
X9260                 544        280
X6403                 544        268
X965                  544        238
X3657                 544        238
X9894                 543        277
X4645                 543        237
X9472                 543        233
X1132                 543        232
X7038                 542        310
X3235                 542        282
X3233                 542        275
X9541                 542        275
X4562                 541        292
X7215                 541        263
X5566                 540        392
X9615                 540        392
X378                  540        334
X4450                 540        332
X6149                 540        330
X8946                 540        288
X2815                 540        285
X2372                 539        378
X3687                 539        330
X2143                 539        323
X8336                 539        317
X7958                 539        256
X2095                 538        358
X2237                 538        350
X978                  538        348
X5545                 538        338
X725                  538        321
X5096                 538        321
X8252                 538        261
X222                  538        226
X4224                 537        391
X7932                 537        360
X1099                 537        326
X6852                 537        275
X4134                 537        218
X4083                 536        398
X257                  536        364
X504                  536        316
X229                  536        265
X1670                 535        393
X4484                 535        382
X4914                 535        378
X3316                 535        295
X9809                 535        283
X3009                 535        258
X4813                 535        218
X5954                 534        391
X7924                 534        376
X2012                 534        334
X5287                 534        314
X9074                 533        345
X3154                 533        330
X1243                 533        324
X4340                 533        262
X4403                 533        251
X7018                 533        220
X6439                 532        351
X4046                 532        318
X3432                 532        288
X5924                 532        276
X4382                 532        265
X2196                 532        255
X9075                 532        242
X946                  531        378
X8182                 531        374
X3001                 531        324
X104                  531        318
X6944                 530        398
X8699                 530        306
X5050                 529        288
X8885                 529        245
X6355                 529        239
X7515                 529        233
X3127                 528        386
X9294                 528        283
X570                  528        236
X5020                 528        235
X3877                 528        233
X2819                 528        230
X2554                 527        335
X4485                 527        312
X7213                 527        298
X4926                 527        295
X6504                 526        368
